"id","start","end","orig_string","parent_id","text_id","status","user_added_id","annotation_project_id","content_type_id","object_id"
579,325,339,,,29184,,12,5,41,94599
580,52,60,,,29350,,12,4,40,94600
581,64,71,,,29350,,12,4,40,94601
582,116,136,,,27418,,12,4,41,94602
583,13,26,,,29350,,12,4,41,94608
584,245,254,,,29350,,12,4,40,94609
585,271,293,,,29350,,12,4,41,94612
586,334,347,,,29350,,12,4,41,94613
587,232,236,,,27418,,12,4,40,94614
588,32,43,,,28892,,12,4,41,94615
589,246,252,,,28892,,12,4,40,94616
590,264,279,,,28892,,12,4,41,94622
591,348,358,,,28892,,12,4,41,94624
592,438,448,,,28892,,12,4,41,94625
